ACCESSION,Phenotype,TREATMENT,SEM_RN_mean,N1_RN_mean,N2_RN_mean,N3_RN_mean,N4_RN_mean,N5_RN_mean,N6_RN_mean,SEM_Angle_mean,N1_Angle_mean,N2_Angle_mean,N3_Angle_mean,N4_Angle_mean,N5_Angle_mean,N6_Angle_mean,Aper,Nitrogen_treatment,Tag,density,respiration,Optimal_N,Min_N,Optimal_P,Min_P,Pho_treatment,Diameter_scaling
15_345,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.038856615,1103.109375,745.3949299,60,30,6,1.37666899
15_370,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.035514698,1093.40973,738.6318733,60,30,6,1.395919099
15_395,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.032172782,1083.710085,731.8688167,60,30,6,1.415169207
15_420,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.028830865,1074.01044,725.1057602,60,30,6,1.434419316
15_445,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.025488948,1064.310796,718.3427036,60,30,6,1.453669425
16_170,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.064771592,1185.583588,817.8429257,60,30,6,1.319595697
16_195,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.061429675,1175.883944,811.0798691,60,30,6,1.338845805
16_220,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.058087758,1166.184299,804.3168126,60,30,6,1.358095914
16_245,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.054745842,1156.484654,797.553756,60,30,6,1.377346023
16_270,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.051403925,1146.785009,790.7906994,60,30,6,1.396596132
16_295,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.048062008,1137.085364,784.0276428,60,30,6,1.41584624
16_320,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.044720092,1127.385719,777.2645863,60,30,6,1.435096349
16_345,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.041378175,1117.686075,770.5015297,60,30,6,1.454346458
16_370,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.038036258,1107.98643,763.7384731,60,30,6,1.473596567
16_395,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.034694342,1098.286785,756.9754166,60,30,6,1.492846676
